sourcetype,offset_sec,vendor,_raw
withings:segments,0,withings,"{""grpid"": ""SAMPLE-WBS-SEG"", ""deviceid"": ""SAMPLEWBS01"", ""modelid"": 55, ""day"": ""__DAY__"", ""position"": 11, ""segment"": ""leg_left"", ""fat_free_mass_kg"": 8.8, ""fat_mass_kg"": 2.1, ""muscle_mass_kg"": 8.3}"
google:steps,0,google,"{""steps"": {""count"": 8500}}"
google:distance,0,google,"{""distance"": {""millimeters"": 6100000}}"
google:active_energy_burned,0,google,"{""activeEnergyBurned"": {""kcal"": 480}}"
google:exercise,25200,google,"{""exercise"": {""exerciseType"": ""RUNNING"", ""metricsSummary"": {""caloriesKcal"": 340, ""distanceMillimeters"": 5200000, ""averageHeartRateBeatsPerMinute"": 142}, ""activeDuration"": ""2100s"", ""interval"": {""startTime"": ""__ISO_START__"", ""endTime"": ""__ISO_END__""}}}"
google:heart_rate,28800,google,"{""heartRate"": {""beatsPerMinute"": 68}}"
google:heart_rate,50400,google,"{""heartRate"": {""beatsPerMinute"": 118}}"
google:heart_rate,72000,google,"{""heartRate"": {""beatsPerMinute"": 74}}"
google:heart_rate_variability,28800,google,"{""heartRateVariability"": {""rootMeanSquareOfSuccessiveDifferencesMilliseconds"": 46}}"
google:heart_rate_variability,72000,google,"{""heartRateVariability"": {""rootMeanSquareOfSuccessiveDifferencesMilliseconds"": 41}}"
google:daily_heart_rate_variability,0,google,"{""dailyHeartRateVariability"": {""averageHeartRateVariabilityMilliseconds"": 44}}"
google:daily_resting_heart_rate,0,google,"{""dailyRestingHeartRate"": {""beatsPerMinute"": 55}}"
google:daily_oxygen_saturation,0,google,"{""dailyOxygenSaturation"": {""averagePercentage"": 97}}"
google:daily_respiratory_rate,0,google,"{""dailyRespiratoryRate"": {""breathsPerMinute"": 14.8}}"
google:vo2_max,0,google,"{""vo2Max"": {""vo2Max"": 43.5}}"
google:daily_vo2_max,0,google,"{""dailyVo2Max"": {""vo2Max"": 43.5}}"
google:weight,0,google,"{""weight"": {""weightGrams"": 74200}}"
google:body_fat,0,google,"{""bodyFat"": {""percentage"": 19.8}}"
google:sleep,25200,google,"{""sleep"": {""type"": ""SLEEP"", ""summary"": {""minutesAsleep"": 428, ""minutesInSleepPeriod"": 460, ""minutesAwake"": 32, ""minutesToFallAsleep"": 12, ""stagesSummary"": [{""type"": ""LIGHT"", ""minutes"": 248}, {""type"": ""DEEP"", ""minutes"": 90}, {""type"": ""REM"", ""minutes"": 80}, {""type"": ""AWAKE"", ""minutes"": 32}]}}}"
